DW,DVAR,Cluster No
126.43701172000004,73.47399902999999,0
75.58099364999998,16.292999259999988,0
30.070068300000003,6.471008299999994,0
27.63000480000005,-17.173004149999997,0
22.85009769999988,18.20980071999999,0
21.25,3.699798584000007,0
22.910034199999927,9.6720199585,0
23.419921899999963,0.0,0
20.36999509999987,-7.279520035,0
20.800048800000013,0.0,0
22.72998050000001,1.2604999540000001,0
22.419921799999884,-2.9150085400000023,0
625.0500488999999,84.81301880000001,2
1431.0500488,177.86999512,3
152.97103882,58.45800781,0
433.4799804999998,512.22198486,2
21.910034200000155,-15.910995479999997,0
21.869995100000096,4.027008059999986,0
22.260009799999807,2.764999390000014,0
26.619873100000405,4.864990239999997,0
22.020019500000217,4.959991450000018,0
21.09008790000007,0.5447998040000002,0
20.22998050000001,1.3483009300000006,0
23.270019499999762,0.3020019499999762,0
25.0,6.0939941400000635,0
294.92993160000015,579.52197361,2
1934.79931445,-12.59469986,1
34.63989260000017,-0.9190979000000041,0
32.8200683,-4.453399659999995,0
24.29003909999983,0.018798830000001487,0
2248.0381098139997,-46.71459961,1
235.7600097999998,-31.545299529999994,0
238.57006839999985,-31.391201020000004,0
138.45996100000002,-27.156196589999993,0
98.18994139999995,-17.370399480000003,0
23.29003909999983,2.2296981799999998,0
230.68994139999995,-30.629695890000008,0
33.989990300000045,5.342300420000001,0
2000.07287596,-38.34549712999999,1
305.06500244999995,-7.054603579999998,0
34.653991700000006,-6.665901180000006,0
25.67601013000001,-8.272499089999997,0
114.98300171000001,-18.68129921,0
100.400601388,-19.58930016,0
21.651000979999992,-7.8382988000000005,0
175.34659195199998,-26.507799151,0
48.991001129,-9.980699539,0
148.263809204,-20.423300750000003,0
72.929097176,-13.6722002,0
49.41099548,-6.8612976,0
168.25940322900001,-32.68320084,0
28.201019290000005,-0.7272987400000019,0
21.542022700000018,-3.8857002300000048,0
237.55749226,-21.37280083,0
90.46798705999998,50.070999150000006,0
25.260009760000003,9.143997189999993,0
567.9801026,458.48907471000007,2
24.449829099999988,-12.523986809999997,0
25.339965800000073,-0.3079834000000119,0
21.429931699999997,4.333007809999998,0
80.11999509999987,-107.36510467299999,0
21.700195299999905,-0.0859985300000119,0
21.580078100000264,-6.455993650000011,0
22.049926799999866,7.186996460000017,0
22.429931699999997,0.02900695999997538,0
22.59997559999988,3.522003170000005,0
22.47998040000016,0.8650054899999873,0
31.780029300000024,67.96502685999997,0
25.139892599999712,12.800994880000019,0
2105.195167582,558.66601562,1
43.192200661,0.0,0
23.011301041000003,0.0,0
80.55999755999994,57.20100403000001,0
437.987289427,171.12353420399998,2
25.507199288,8.373459816,0
70.33898925999995,52.39799499,0
88.24099731000007,19.681991580000016,0
30.449951199999987,-0.2630004899999676,0
21.780029300000024,14.338012689999971,0
21.149902399999974,9.258026130000019,0
22.0,4.424987789999989,0
44.5,68.1495018,0
20.09008780000022,3.8290023799999915,0
29.3099365999999,38.239599228,0
1884.36505412,54.516498566,1
133.97003172999996,36.94099426,0
548.1300049000001,601.83496093,2
28.77001949999999,4.4719848600000205,0
38.16992189999996,-4.382995610000023,0
25.800048900000093,11.528991700000006,0
60.60986330000014,126.74198913999999,0
21.44006349999995,14.157989499999985,0
22.58007809999981,-11.355987540000001,0
23.889892599999712,22.11499022999999,0
27.599853500000336,62.57501220999998,0
32.20996090000017,31.73600768999998,0
21.979980400000386,9.884002689999988,0
21.979980500000238,0.009994509999984302,0
26.269897400000218,32.27301026000001,0
21.070068400000082,19.479003910000003,0
24.349975600000107,45.89500427,0
20.570068300000003,-6.851097107000001,0
21.510009800000034,2.2679977420000057,0
46.65991209999993,168.36199951,0
22.839965899999925,13.700996400000008,0
51.96008299999994,100.62200928000001,0
47.22998049999978,123.57000733000001,0
26.199951200000214,22.531005859999965,0
25.279907300000104,54.54800415,0
22.400024399999893,53.996894834,0
30.51977540000007,46.152984619999984,0
26.25,67.81399536000004,0
26.90991209999993,48.26199341,0
20.71008299999994,6.381988530000001,0
35.11999509999987,69.05200194999999,0
21.800048799999786,3.034011840000005,0
28.219970699999976,20.840972899999997,0
23.619873000000098,6.283020019999981,0
33.70996090000017,78.65400696000003,0
22.820068300000003,4.122009279999986,0
23.20996090000017,-2.501007080000022,0
24.62011719999964,8.36499022999999,0
22.930175799999688,-0.006988519999993059,0
21.989990300000045,0.14404297000010047,0
127.21997069999998,304.65802002,0
196.73999030000027,394.39888953999997,2
1536.73095704,55.10099792,3
384.86599540900005,140.32600403,2
228.19500732,96.50898743000002,0
45.17901611000002,3.7169952399999886,0
62.09997550000003,227.15100097999994,0
20.589965799999845,-5.707000730000004,0
27.140014699999938,-0.14599609999999075,0
22.169921899999963,-4.382995610000023,0
673.6499024,32.512699127000005,2
1315.627853383,28.373600006,3
75.80699921,-3.9893999099999977,0
99.287402153,-15.54559994,0
20.994003300000003,-1.348300929999997,0
166.338006024,-24.06439972,0
